Вау ... Мне очень понравилось это место.; 1;
Корочка плохая.; 0;
Не вкусно, а текстура просто противная.; 0;
Остановился на празднике в конце мая по рекомендации Рика Стива, и мне понравилось.; 1;
Выбор в меню был отличным, как и цены .; 1;
Теперь я злюсь и хочу свою чертову фотографию.; 0;
Честное слово, он не был ТАК свежим на вкус.); 0;
Картофель был похож на резину, и можно было сказать, что он был приготовлен заранее и держался под грелкой.; 0;
Картошка фри тоже была отличной.; 1;
Отличное прикосновение.; 1;
Обслуживание было очень быстрым .; 1;
Не вернусь.; 0;
Кассиру было наплевать на то, что я сказал, это все равно оказалось слишком завышенным.; 0;
Попробовала раволи Кейп-Код, курица, с клюквой ... мммм!; 1;
Мне было противно, потому что я был почти уверен, что это человеческие волосы.; 0;
Я был шокирован, потому что никаких знаков, указывающих только на наличные, нет.; 0;
Настоятельно рекомендуется.; 1;
Официантка обслуживала немного медленно.; 0;
Это место не стоит вашего времени, не говоря уже о Вегасе.; 0;
совсем не понравился.; 0;
Бурритто Бла!; 0;
Еда, восхитительная .; 1;
Сервис тоже симпатичный .; 1;
Мне плевать ... Интерьер просто красивый.; 1;
Так они и выполнили.; 1;
Правильно .... красный бархатный торт ..... оххх, это так здорово.; 1;
У этой дыры в стене есть отличные мексиканские уличные тако и дружелюбный персонал .; 1;
Потребовался час, чтобы получить нашу еду, всего 4 столика в ресторане, моя еда была теплой, Люк, наш сервер бегал, как будто он был полностью разбит.; 0;
Хуже всего было сашими из лосося.; 0;
Также есть комбинации, такие как гамбургер, картофель фри и пиво на 23 человека, что является неплохим вариантом.; 1;
Это было похоже на последний удар!; 0;
Я нашел это место случайно, и я очень счастлив.; 1;
кажется хорошим местом, чтобы перекусить знакомой едой в пабе, но сделайте себе одолжение и поищите где-нибудь еще.; 0;
В целом, мне это место очень нравится.; 1;
Единственным достоинством ресторана было то, что он был очень недорогим.; 1;
Обильные порции и хорошие цены .; 1;
Плохое обслуживание, официант заставлял меня чувствовать себя глупо каждый раз, когда он подходил к столу.; 0;
Мой первый визит к Хиро был восхитителен!; 1;
Сервис отстой.; 0;
Креветки нежные и влажные .; 1;
Нет ничего достаточно хорошего, чтобы снова втянуть меня в это заведение.; 0;
Трудно судить, были ли эти стороны хорошими, потому что мы были вымотаны расплавленным пенополистиролом и не хотели есть его из-за страха заболеть.; 0;
Положительным моментом является то, что наш сервер был очень внимательным и предоставил отличный сервис.; 1;
Замороженные шайбы отвращения с одними из худших людей позади кассы.; 0;
Единственное, что мне понравилось, это ребра и десерт.; 1;
Жаль, что еда такая чертовски обычная.; 0;
Бургер - это хорошая говядина, приготовленная правильно.; 1;
Если хочешь бутерброд, сходи в любую пожарную часть !!!!!; 1;
Мой греческий салат с греческой заправкой был очень вкусным, а лаваш и хумус очень освежали.; 1;
Мы заказали утку на редкость, она была розовой и нежной внутри, с красивым углем снаружи .; 1;
Он побежал за нами, когда понял, что мой муж оставил свои солнцезащитные очки на столе.; 1;
Их чау-мейн такой вкусный!; 1;
У них ужасное отношение к покупателям, и они разговаривают с каждым свысока, когда покупателям не нравится их еда.; 0;
Порция была огромной!; 1;
Очень понравилось ... дружелюбные официанты, отличная еда, прекрасное и оригинальное меню .; 1;
The Heart Attack Grill в центре Вегаса - это идеальный повод для посещения ресторана.; 0;
Не много морепродуктов и вроде 5 ниток пасты внизу.; 0;
В салате было ровно столько соуса, чтобы не перегружать гребешок, который был приготовлен идеально.; 1;
Разорванный банан был не только разорванным, но и окаменевшим и безвкусным.; 0;
По крайней мере, подумай, чтобы долить мне воды, прежде чем я буду пытаться помахать тобой в течение 10 минут.; 0;
Это место получает звезды за ЗАКУСКИ !!!; 1;
Все коктейли сделаны вручную и восхитительны.; 1;
Мы обязательно вернемся сюда снова.; 1;
Мы так рады, что нашли это место.; 1;
Отличная еда и обслуживание, огромные порции, и они дают военную скидку .; 1;
Всегда приятно провести время в Дос Гринго!; 1;
Обновление ..... вернулся во второй раз, и все было так же потрясающе; 1;
Мы получили еду, и, очевидно, они никогда не слышали о соли и жидком тесте для рыбы.; 0;
Отличный способ отлично закончить.; 1;
Сделка включала 5 дегустаций и 2 напитка, и Джефф превзошел все наши ожидания.; 1;
- Действительно хороший рис, все время; 1;
Обслуживание было мех.; 0;
Чтобы приготовить их молочный коктейль, который был не более чем шоколадным молоком, потребовалось более 30 минут.; 0;
Думаю, мне следовало знать, что это место будет отстойно, потому что оно находится внутри Экскалибура, но я не использовал свой здравый смысл.; 0;
Блюдо из морских гребешков тоже ужасно по цене.; 0;
2 раза - Очень плохое обслуживание клиентов!; 0;
Картофель фри из сладкого картофеля был очень вкусным и хорошо приправленным.; 1;
Сегодня я второй раз был на их обеденном буфете, и это было довольно хорошо .; 1;
В Вегасе так много хорошей еды, что я чувствую себя обманутым из-за того, что я упустил возможность поесть, отправившись в Rice and Company.; 0;